LocalityID	CollectorName	LastNameGuess	VerbatimCollectors	FieldNo	iYear	VerbatimDate
16217	G.E. Gunning	Gunning	"R.D. Suttkus, P. Sorensen & G.E. Gunning"	RDS 6223	1976	12 August  1976
16218	R.D. Suttkus	Suttkus	Suttkus & Clemmer	RDS 6224	1976	21/8/1976
16218	Clemmer	Clemmer	Suttkus & Clemmer	RDS 6224	1976	21/8/1976
16219	R.D. Suttkus	Suttkus	Suttkus & Clemmer	RDS 6226	1976	21/8/1976
16219	Clemmer	Clemmer	Suttkus & Clemmer	RDS 6226	1976	21/8/1976
16220	R.D. Suttkus	Suttkus	Suttkus & Clemmer	RDS 6227	1976	21/8/1976
16220	Clemmer	Clemmer	Suttkus & Clemmer	RDS 6227	1976	21/8/1976
16221	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6229	1976	29/8/1976
16221	Clemmer	Clemmer	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6229	1976	29/8/1976
16221	Williams	Williams	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6229	1976	29/8/1976
16221	Jones	Jones	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6229	1976	29/8/1976
16221	Fisher	Fisher	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6229	1976	29/8/1976
16222	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6230	1976	29/8/1976
16222	Clemmer	Clemmer	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6230	1976	29/8/1976
16222	Williams	Williams	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6230	1976	29/8/1976
16222	Jones	Jones	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6230	1976	29/8/1976
16222	Fisher	Fisher	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6230	1976	29/8/1976
16223	R.D. Suttkus	Suttkus	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6231	1976	29/8/1976
16223	Clemmer	Clemmer	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6231	1976	29/8/1976
16223	Williams	Williams	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6231	1976	29/8/1976
16223	Jones	Jones	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6231	1976	29/8/1976
16223	Fisher	Fisher	"Suttkus, Clemmer, Williams, Jones & Fisher"	RDS 6231	1976	29/8/1976
